,,,
Código de la CIE-10 tres caracteres,Descripcion  de codigos a tres caracteres,Código de la CIE-10 cuatro caracteres,Descripcion  de códigos a cuatro caracteres
G73,Trastornos Del Musculo Y De La Union Neuromuscular En Enfermedades Clasificadas En Otra Parte,G736,Miopatia en enfermedades metabolicas
G73,Trastornos Del Musculo Y De La Union Neuromuscular En Enfermedades Clasificadas En Otra Parte,G737,Miopatia en otras enfermedades clasificadas en otra parte
G80,Paralisis Cerebral,G800,Paralisis cerebral espastica cuadriplejica
G80,Paralisis Cerebral,G801,Paralisis cerebral espastica diplejica
G80,Paralisis Cerebral,G802,Paralisis cerebral espastica hemiplejica
G80,Paralisis Cerebral,G803,Paralisis cerebral discinetica
G80,Paralisis Cerebral,G804,Paralisis cerebral ataxica
G80,Paralisis Cerebral,G808,Otros tipos de paralisis cerebral 
G80,Paralisis Cerebral,G809,"Paralisis cerebral, sin otra especificacion"
G81,Hemiplejia,G810,Hemiplejia flacida
G81,Hemiplejia,G811,Hemiplejia espastica
G81,Hemiplejia,G819,"Hemiplejia, no especificada"
G82,Paraplejia Y Cuadriplejia,G820,Paraplejia flacida
G82,Paraplejia Y Cuadriplejia,G821,Paraplejia espastica
G82,Paraplejia Y Cuadriplejia,G822,"Paraplejia, no especificada"
G82,Paraplejia Y Cuadriplejia,G823,Cuadriplejia flacida
G82,Paraplejia Y Cuadriplejia,G824,Cuadriplejia espastica
G82,Paraplejia Y Cuadriplejia,G825,"Cuadriplejia, no especificada"
G83,Otros Sindromes Paraliticos,G830,Diplejia de los miembros superiores
G83,Otros Sindromes Paraliticos,G831,Monoplejia de miembro inferior
G83,Otros Sindromes Paraliticos,G832,Monoplejia de miembro superior
G83,Otros Sindromes Paraliticos,G833,"Monoplejia, no especificada"
G83,Otros Sindromes Paraliticos,G834,Sindrome de la cola de caballo
G83,Otros Sindromes Paraliticos,G835,Sindrome de enclaustramiento
G83,Otros Sindromes Paraliticos,G838,Otros sindromes paraliticos especificados
G83,Otros Sindromes Paraliticos,G839,"Sindrome paralitico, no especificado"
G90,Trastornos Del Sistema Nervioso Autonomo,G900,Neuropatia autonoma periferica idiopatica
G90,Trastornos Del Sistema Nervioso Autonomo,G901,Disautonomia familiar [Sindrome de Riley-Day]
G90,Trastornos Del Sistema Nervioso Autonomo,G902,Sindrome de Horner
G90,Trastornos Del Sistema Nervioso Autonomo,G904,Disreflexia autonomica
G90,Trastornos Del Sistema Nervioso Autonomo,G908,Otros Trastornos del sistema nervioso autonomo
G90,Trastornos Del Sistema Nervioso Autonomo,G909,"Trastorno del sistema nervioso autonomo, no especificado"
G91,Hidrocefalo,G910,Hidrocefalo comunicante
G91,Hidrocefalo,G911,Hidrocefalo obstructivo
G91,Hidrocefalo,G912,Hidrocefalo de presion normal
G91,Hidrocefalo,G913,"Hidrocefalo postraumatico, sin otra especificacion"
G91,Hidrocefalo,G918,Otros tipos de hidrocefalo
G91,Hidrocefalo,G919,"Hidrocefalo, no especificado"
G92,Encefalopatia Toxica,G92X,Encefalopatia toxica
G93,Otros Trastornos Del Encefalo,G930,Quiste cerebral
G93,Otros Trastornos Del Encefalo,G931,"Lesion cerebral anoxica, no clasificada en otra parte"
G93,Otros Trastornos Del Encefalo,G932,Hipertension intracraneal benigna
G93,Otros Trastornos Del Encefalo,G933,Sindrome de fatiga postviral
G93,Otros Trastornos Del Encefalo,G934,Encefalopatia no especificada
G93,Otros Trastornos Del Encefalo,G935,Compresion del encefalo
G93,Otros Trastornos Del Encefalo,G936,Edema cerebral
G93,Otros Trastornos Del Encefalo,G937,Sindrome de Reye
G93,Otros Trastornos Del Encefalo,G938,Otros Trastornos especificados del encefalo
G93,Otros Trastornos Del Encefalo,G939,"Trastorno del encefalo, no especificado"
G94,Otros Trastornos Del Encefalo En Enfermedades Clasificadas En Otra Parte,G940,Hidrocefalo en enfermedades infecciosas y parasitarias clasificadas en otra parte
G94,Otros Trastornos Del Encefalo En Enfermedades Clasificadas En Otra Parte,G941,Hidrocefalo en enfermedad neoplasica
G94,Otros Trastornos Del Encefalo En Enfermedades Clasificadas En Otra Parte,G942,Hidrocefalo en otras enfermedades clasificadas en otra parte
G94,Otros Trastornos Del Encefalo En Enfermedades Clasificadas En Otra Parte,G948,Otros trastornos encefalicos especificados en enfermedades clasificadas en otra parte
G95,Otras Enfermedades De La Medula Espinal,G950,Siringomielia y siringobulbia
G95,Otras Enfermedades De La Medula Espinal,G951,Mielopatias vasculares
G95,Otras Enfermedades De La Medula Espinal,G952,"Compresion medular, no especificada"
G95,Otras Enfermedades De La Medula Espinal,G958,Otras enfermedades especificadas de la medula espinal
G95,Otras Enfermedades De La Medula Espinal,G959,"Enfermedad de la medula espinal, no especificada"
G96,Otros Trastornos Del Sistema Nervioso Central,G960,Perdida de liquido cefalorraquideo
G96,Otros Trastornos Del Sistema Nervioso Central,G961,"Trastornos de las meninges, no clasificados en otra parte"
G96,Otros Trastornos Del Sistema Nervioso Central,G968,Otros trastornos especificados del sistema nervioso central
G96,Otros Trastornos Del Sistema Nervioso Central,G969,"Trastorno del sistema nervioso central, no especificado"
G97,"Trastornos Del Sistema Nervioso Consecutivos A Procedimientos, No Clasificados En Otra Parte",G970,Perdida de liquido cefalorraquideo por puncion espinal
G97,"Trastornos Del Sistema Nervioso Consecutivos A Procedimientos, No Clasificados En Otra Parte",G971,Otra reaccion a la puncion espinal y lumbar
G97,"Trastornos Del Sistema Nervioso Consecutivos A Procedimientos, No Clasificados En Otra Parte",G972,Hipotension intracraneal posterior a anastomosis ventricular
G97,"Trastornos Del Sistema Nervioso Consecutivos A Procedimientos, No Clasificados En Otra Parte",G978,Otros trastornos del sistema nervioso consecutivos a procedimientos
G97,"Trastornos Del Sistema Nervioso Consecutivos A Procedimientos, No Clasificados En Otra Parte",G979,"Trastornos no especificados del sistema nervioso, consecutivos a procedimientos"
G98,"Otros Trastornos Sistema Nervioso, No Clasificados En Otra Parte",G98X,"Otros trastornos del sistema nervioso, no clasificados en otra parte"
G99,Otros Trastornos Del Sistema Nervioso En Enfermedades Clasificadas En Otra Parte,G990,Neuropatia autonomica en enfermedades metabolica y endocrinas
G99,Otros Trastornos Del Sistema Nervioso En Enfermedades Clasificadas En Otra Parte,G991,Otros trastornos del sistema nervioso autonomo en otras enfermedades clasificadas en otra parte
G99,Otros Trastornos Del Sistema Nervioso En Enfermedades Clasificadas En Otra Parte,G992,Mielopatia en enfermedades clasificadas en otra parte
G99,Otros Trastornos Del Sistema Nervioso En Enfermedades Clasificadas En Otra Parte,G998,Otros trastornos especificados del sistema nervioso en enfermedades clasificadas en otra parte
H00,Orzuelo Y Calacio,H000,Orzuelo y otras inflamaciones profundas del parpado
H00,Orzuelo Y Calacio,H001,Calacio [chalazion]
H01,Otras Inflamaciones Del Parpado,H010,Blefaritis
H01,Otras Inflamaciones Del Parpado,H011,Dermatosis no infecciosa del parpado
H01,Otras Inflamaciones Del Parpado,H018,Otras inflamaciones especificadas del parpado
H01,Otras Inflamaciones Del Parpado,H019,"Inflamacion del parpado, no especificada"
H02,Otros Trastornos De Los Parpados,H020,Entropion y triquiasis palpebral
H02,Otros Trastornos De Los Parpados,H021,Ectropion del parpado
H02,Otros Trastornos De Los Parpados,H022,Lagoftalmos
H02,Otros Trastornos De Los Parpados,H023,Blefarocalasia
H02,Otros Trastornos De Los Parpados,H024,Blefaroptosis
H02,Otros Trastornos De Los Parpados,H025,Otros trastornos funcionales del parpado
H02,Otros Trastornos De Los Parpados,H026,Xantelasma del parpado
H02,Otros Trastornos De Los Parpados,H027,Otros trastornos degenerativos del parpado y del area periocular
H02,Otros Trastornos De Los Parpados,H028,Otros trastornos especificados del parpado
H02,Otros Trastornos De Los Parpados,H029,"Trastorno del parpado, no especificado"
H03,Trastornos Del Parpado En Enfermedades Clasificadas En Otra Parte,H030,Infeccion o infestacion parasitaria del parpado en enfermedades clasificadas en otra parte
H03,Trastornos Del Parpado En Enfermedades Clasificadas En Otra Parte,H031,Compromiso del parpado en enfermedades infecciosas clasificadas en otra parte
H03,Trastornos Del Parpado En Enfermedades Clasificadas En Otra Parte,H038,Compromiso del parpado en enfermedades clasificadas en otra parte
H04,Trastornos Del Aparato Lagrimal,H040,Dacrioadenitis
H04,Trastornos Del Aparato Lagrimal,H041,Otros trastornos de la glandula lagrimal
H04,Trastornos Del Aparato Lagrimal,H042,Epifora
H04,Trastornos Del Aparato Lagrimal,H043,Inflamacion aguda y la no especificada de las vias lagrimales
H04,Trastornos Del Aparato Lagrimal,H044,Inflamacion cronica de las vias lagrimales
H04,Trastornos Del Aparato Lagrimal,H045,Estenosis e insuficiencia de las vias lagrimales
H04,Trastornos Del Aparato Lagrimal,H046,Otros cambios de las vias lagrimales
H04,Trastornos Del Aparato Lagrimal,H048,Otros trastornos especificados del aparato lagrimal
H04,Trastornos Del Aparato Lagrimal,H049,"Trastorno del aparato lagrimal, no especificado"
H05,Trastornos De La Orbita,H050,Inflamacion aguda de la orbita
H05,Trastornos De La Orbita,H051,Trastornos inflamatorios cronicos de la orbita
H05,Trastornos De La Orbita,H052,Afecciones exoftalmicas
H05,Trastornos De La Orbita,H053,Deformidad de la orbita
H05,Trastornos De La Orbita,H054,Enoftalmia
H05,Trastornos De La Orbita,H055,"Retencion de cuerpo extrano (antiguo), consecutiva a herida penetrante de la orbita"
H05,Trastornos De La Orbita,H058,Otros trastornos de la orbita
H05,Trastornos De La Orbita,H059,"Trastorno de la orbita, no especificado"
H06,Trastornos Del Aparato Lagrimal Y De La Orbita En Enfermedades Clasificadas En Otra Parte,H060,Trastornos del aparato lagrimal en enfermedades clasificadas en otra parte
H06,Trastornos Del Aparato Lagrimal Y De La Orbita En Enfermedades Clasificadas En Otra Parte,H061,Infeccion e infestacion parasitarias de la orbita en enfermedades clasificadas en otra parte
H06,Trastornos Del Aparato Lagrimal Y De La Orbita En Enfermedades Clasificadas En Otra Parte,H062,Exoftalmia hipertiroidea
H06,Trastornos Del Aparato Lagrimal Y De La Orbita En Enfermedades Clasificadas En Otra Parte,H063,Otros trastornos de la orbita en enfermedades clasificadas en otra parte
H10,Conjuntivitis,H100,Conjuntivitis mucopurulenta
H10,Conjuntivitis,H101,Conjuntivitis atopica aguda
H10,Conjuntivitis,H102,Otras conjuntivitis agudas
H10,Conjuntivitis,H103,"Conjuntivitis aguda, no especificada"
H10,Conjuntivitis,H104,Conjuntivitis cronica
H10,Conjuntivitis,H105,Blefaroconjuntivitis
H10,Conjuntivitis,H108,Otras conjuntivitis
H10,Conjuntivitis,H109,"Conjuntivitis, no especificada"
H11,Otros Trastornos De La Conjuntiva,H110,Pterigion
H11,Otros Trastornos De La Conjuntiva,H111,Degeneraciones y depositos conjuntivales
H11,Otros Trastornos De La Conjuntiva,H112,Cicatrices conjuntivales
H11,Otros Trastornos De La Conjuntiva,H113,Hemorragia conjuntival
H11,Otros Trastornos De La Conjuntiva,H114,Otros trastornos vasculares y quistes conjuntivales
H11,Otros Trastornos De La Conjuntiva,H118,Otros trastornos especificados de la conjuntiva
H11,Otros Trastornos De La Conjuntiva,H119,"Trastorno de la conjuntiva, no especificado"
H13,Trastornos De La Conjuntiva En Enfermedades Clasificadas En Otra Parte,H130,Infeccion filarica de la conjuntiva
H13,Trastornos De La Conjuntiva En Enfermedades Clasificadas En Otra Parte,H131,Conjuntivitis en enfermedades infecciosas y parasitarias clasificadas en otra parte
H13,Trastornos De La Conjuntiva En Enfermedades Clasificadas En Otra Parte,H132,Conjuntivitis en otras enfermedades clasificadas en otra parte
H13,Trastornos De La Conjuntiva En Enfermedades Clasificadas En Otra Parte,H133,Penfigoide ocular
H13,Trastornos De La Conjuntiva En Enfermedades Clasificadas En Otra Parte,H138,Otros trastornos de la conjuntiva en enfermedades clasificadas en otra parte
H15,Trastornos De La Esclerotica,H150,Escleritis
H15,Trastornos De La Esclerotica,H151,Episcleritis
H15,Trastornos De La Esclerotica,H158,Otros trastornos de la esclerotica
H15,Trastornos De La Esclerotica,H159,"Trastorno de la esclerotica, no especificado"
H16,Queratitis,H160,ulcera de la cornea
H16,Queratitis,H161,Otras queratitis superficiales sin conjuntivitis
H16,Queratitis,H162,Queratoconjuntivitis
H16,Queratitis,H163,Queratitis intersticial y profunda
H16,Queratitis,H164,Neovascularizacion  de la cornea
H16,Queratitis,H168,Otras queratitis
H16,Queratitis,H169,"Queratitis,no especificada"
H17,Opacidades Y Cicatrices Corneales,H170,Leucoma adherente
H17,Opacidades Y Cicatrices Corneales,H171,Otras opacidades centrales de la cornea
H17,Opacidades Y Cicatrices Corneales,H178,Otras opacidades o cicatrices de la cornea
H17,Opacidades Y Cicatrices Corneales,H179,"Cicatriz u opacidad de la cornea,  no especificada"
H18,Otros Trastornos De La Cornea,H180,Pigmentaciones y depositos en la cornea
H18,Otros Trastornos De La Cornea,H181,Queratopatia vesicular
H18,Otros Trastornos De La Cornea,H182,Otros edemas de la cornea
H18,Otros Trastornos De La Cornea,H183,Cambios en las membranas de la cornea
H18,Otros Trastornos De La Cornea,H184,Degeneracion de la cornea
H18,Otros Trastornos De La Cornea,H185,Distrofia hereditaria de la cornea
H18,Otros Trastornos De La Cornea,H186,Queratocono
H18,Otros Trastornos De La Cornea,H187,Otras deformidades de la cornea
H18,Otros Trastornos De La Cornea,H188,Otros trastornos especificados de la cornea
H18,Otros Trastornos De La Cornea,H189,"Trastorno de la cornea, no especificado"
H19,Trastornos De La Esclerotica Y De La Cornea En Enfermedades Clasificadas En Otra Parte,H190,Escleritis y episcleritis en enfermedades clasificadas en otra parte
H19,Trastornos De La Esclerotica Y De La Cornea En Enfermedades Clasificadas En Otra Parte,H191,Queratitis y queratoconjuntivitis por herpes simple
H19,Trastornos De La Esclerotica Y De La Cornea En Enfermedades Clasificadas En Otra Parte,H192,"Queratitis y queratoconjuntivitis en enfermedades infecciosas y parasitarias, clasificadas en otra parte"
H19,Trastornos De La Esclerotica Y De La Cornea En Enfermedades Clasificadas En Otra Parte,H193,Queratitis y queratoconjuntivitis en otras enfermedades clasificadas en otra parte
H19,Trastornos De La Esclerotica Y De La Cornea En Enfermedades Clasificadas En Otra Parte,H198,Otros trastornos de la esclerotica y de la cornea en enfermedades clasificadas en otra parte
H20,Iridociclitis,H200,Iridociclitis aguda y subaguda
H20,Iridociclitis,H201,Iridociclitis cronica
H20,Iridociclitis,H202,Iridociclitis inducida por trastorno del cristalino
H20,Iridociclitis,H208,Otras iridociclitis especificadas
H20,Iridociclitis,H209,"Iridociclitis, no especificada"
H21,Otros Trastornos Del Iris Y Del Cuerpo Ciliar,H210,Hifema
H21,Otros Trastornos Del Iris Y Del Cuerpo Ciliar,H211,Otros trastornos vasculares del iris y del cuerpo ciliar
H21,Otros Trastornos Del Iris Y Del Cuerpo Ciliar,H212,Degeneracion del iris y del cuerpo ciliar
H21,Otros Trastornos Del Iris Y Del Cuerpo Ciliar,H213,"Quiste del iris, del cuerpo ciliar y de la camara anterior"
H21,Otros Trastornos Del Iris Y Del Cuerpo Ciliar,H214,Membranas pupilares
H21,Otros Trastornos Del Iris Y Del Cuerpo Ciliar,H215,Otras adherencias y desgarros del iris y del cuerpo ciliar
H21,Otros Trastornos Del Iris Y Del Cuerpo Ciliar,H218,Otros trastornos especificados del iris y del cuerpo ciliar
H21,Otros Trastornos Del Iris Y Del Cuerpo Ciliar,H219,"Trastorno del iris y del cuerpo ciliar, no especificado"
H22,Trastornos Del Iris Y Del Cuerpo Ciliar En Enfermedades Clasificadas En Otra Parte,H220,Iridociclitis en enfermedades infecciosas y parasitarias  clasificadas en otra parte
H22,Trastornos Del Iris Y Del Cuerpo Ciliar En Enfermedades Clasificadas En Otra Parte,H221,Iridociclitis en otras enfermedades clasificadas en otra parte
H22,Trastornos Del Iris Y Del Cuerpo Ciliar En Enfermedades Clasificadas En Otra Parte,H228,Otros trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte
H25,Catarata Senil,H250,Catarata senil incipiente
H25,Catarata Senil,H251,Catarata senil nuclear
H25,Catarata Senil,H252,"Catarata senil, tipo morgagnian"
H25,Catarata Senil,H258,Otras cataratas seniles
H25,Catarata Senil,H259,"Catarata senil, no especificada"
H26,Otras Cataratas,H260,"Catarata infantil, juvenil y presenil"
H26,Otras Cataratas,H261,Catarata traumatica
H26,Otras Cataratas,H262,Catarata complicada
H26,Otras Cataratas,H263,Catarata inducida por drogas
H26,Otras Cataratas,H264,Catarata residual
H26,Otras Cataratas,H268,Otras formas especificadas de catarata
H26,Otras Cataratas,H269,"Catarata, no especificada"
H27,Otros Trastornos Del Cristalino,H270,Afaquia
H27,Otros Trastornos Del Cristalino,H271,Luxacion del cristalino
H27,Otros Trastornos Del Cristalino,H278,Otros trastornos especificados del cristalino
H27,Otros Trastornos Del Cristalino,H279,"Trastorno del cristalino, no especificado"
H28,Catarata Y Otros Trastornos Del Cristalino En Enfermedades Clasificadas En Otra Parte,H280,Catarata diabetica
H28,Catarata Y Otros Trastornos Del Cristalino En Enfermedades Clasificadas En Otra Parte,H281,"Catarata en otras enfermedades endocrinas, nutricionales y metabolicas clasificadas en otra parte"
H28,Catarata Y Otros Trastornos Del Cristalino En Enfermedades Clasificadas En Otra Parte,H282,Catarata en otras enfermedades clasificadas en otra parte
H28,Catarata Y Otros Trastornos Del Cristalino En Enfermedades Clasificadas En Otra Parte,H288,Otros trastornos del cristalino en enfermedades clasificadas en otra parte
H30,Inflamacion Coriorretiniana,H300,Coriorretinitis focal
H30,Inflamacion Coriorretiniana,H301,Coriorretinitis diseminada
H30,Inflamacion Coriorretiniana,H302,Ciclitis posterior
H30,Inflamacion Coriorretiniana,H308,Otras coriorretinitis
H30,Inflamacion Coriorretiniana,H309,"Coriorretinitis, no especificada"
H31,Otros Trastornos De La Coroides,H310,Cicatrices coriorretinianas
H31,Otros Trastornos De La Coroides,H311,Degeneracion coroidea
H31,Otros Trastornos De La Coroides,H312,Distrofia coroidea hereditaria
H31,Otros Trastornos De La Coroides,H313,Hemorragia y ruptura de la coroides
H31,Otros Trastornos De La Coroides,H314,Desprendimiento de la coroides
H31,Otros Trastornos De La Coroides,H318,Otros trastornos especificados de la coroides
H31,Otros Trastornos De La Coroides,H319,"Trastorno de la coroides, no especificado"
H32,Trastornos Coriorretinianos En Enfermedades Clasificadas En Otra Parte,H320,Inflamacion coriorretiniana en enfermedades infecciosas y parasitarias clasificadas en otra parte
H32,Trastornos Coriorretinianos En Enfermedades Clasificadas En Otra Parte,H328,Otros trastornos coriorretinianos en enfermedades clasificadas en otra parte
H33,Desprendimiento Y Desgarro De La Retina,H330,Desprendimiento de la retina con ruptura
H33,Desprendimiento Y Desgarro De La Retina,H331,Retinosquisis y quistes de la retina
H33,Desprendimiento Y Desgarro De La Retina,H332,Desprendimiento seroso de la retina
H33,Desprendimiento Y Desgarro De La Retina,H333,Desgarro de la retina sin desprendimiento
H33,Desprendimiento Y Desgarro De La Retina,H334,Desprendimiento de la retina por traccion
H33,Desprendimiento Y Desgarro De La Retina,H335,Otros desprendimientos de la retina
H34,Oclusion Vascular De La Retina,H340,Oclusion arterial transitoria de la retina
H34,Oclusion Vascular De La Retina,H341,Oclusion de la arteria central de la retina
H34,Oclusion Vascular De La Retina,H342,Otras formas de oclusion de la arteria de la retina
H34,Oclusion Vascular De La Retina,H348,Otras oclusiones vasculares retinianas
H34,Oclusion Vascular De La Retina,H349,"Oclusion vascular retiniana, sin otra especificacion"
H35,Otros Trastornos De La Retina,H350,Retinopatias del fondo y cambios vasculares retinianos
H35,Otros Trastornos De La Retina,H351,Retinopatia de la prematuridad
H35,Otros Trastornos De La Retina,H352,Otras retinopatias proliferativas
H35,Otros Trastornos De La Retina,H353,Degeneracion de la macula y del polo posterior del ojo
H35,Otros Trastornos De La Retina,H354,Degeneracion periferica de la retina
H35,Otros Trastornos De La Retina,H355,Distrofia hereditaria de la retina
H35,Otros Trastornos De La Retina,H356,Hemorragia retiniana
H35,Otros Trastornos De La Retina,H357,Separacion de las capas de la retina
H35,Otros Trastornos De La Retina,H358,Otros trastornos especificados de la retina
H35,Otros Trastornos De La Retina,H359,"Trastorno de la retina, no especificado"
H36,Trastornos De La Retina En Enfermedades Clasificadas En Otra Parte,H360,Retinopatia diabetica
H36,Trastornos De La Retina En Enfermedades Clasificadas En Otra Parte,H368,Otros trastornos de la retina en enfermedades clasificadas en otra parte
H40,Glaucoma,H400,Sospecha de glaucoma
H40,Glaucoma,H401,Glaucoma primario de angulo abierto
H40,Glaucoma,H402,Glaucoma primario de angulo cerrado
H40,Glaucoma,H403,Glaucoma secundario a traumatismo ocular
H40,Glaucoma,H404,Glaucoma secundario a inflamacion ocular
H40,Glaucoma,H405,Glaucoma secundario a otros trastornos del ojo
H40,Glaucoma,H406,Glaucoma secundario a drogas
H40,Glaucoma,H408,Otros glaucomas
H40,Glaucoma,H409,"Glaucoma, no especificado"
H42,Glaucoma En Enfermedades Clasificadas En Otra Parte,H420,"Glaucoma en enfermedades endocrinas, nutricionales y metabolicas clasificadas en otra parte"
H42,Glaucoma En Enfermedades Clasificadas En Otra Parte,H428,Glaucoma en otras enfermedades clasificadas en otra parte
H43,Trastornos Del Cuerpo Vitreo,H430,Prolapso del vitreo
H43,Trastornos Del Cuerpo Vitreo,H431,Hemorragia del vitreo
H43,Trastornos Del Cuerpo Vitreo,H432,Depositos cristalinos en el cuerpo vitreo
H43,Trastornos Del Cuerpo Vitreo,H433,Otras opacidades vitreas
H43,Trastornos Del Cuerpo Vitreo,H438,Otros trastornos del cuerpo vitreo
H43,Trastornos Del Cuerpo Vitreo,H439,"Trastorno del cuerpo vitreo, no especificado"
H44,Trastornos Del Globo Ocular,H440,Endoftalmitis purulenta
H44,Trastornos Del Globo Ocular,H441,Otras endoftalmitis
H44,Trastornos Del Globo Ocular,H442,Miopia degenerativa
H44,Trastornos Del Globo Ocular,H443,Otros trastornos degenerativos del globo ocular
H44,Trastornos Del Globo Ocular,H444,Hipotonia ocular
H44,Trastornos Del Globo Ocular,H445,Afecciones degenerativas del globo ocular
H44,Trastornos Del Globo Ocular,H446,Retencion intraocular de cuerpo extrano magnetico (antiguo)
H44,Trastornos Del Globo Ocular,H447,Retencion intraocular de cuerpo extrano no magnetico (antiguo)
H44,Trastornos Del Globo Ocular,H448,Otros trastornos del globo ocular
H44,Trastornos Del Globo Ocular,H449,"Trastorno del globo ocular, no especificado"
H45,Trastornos Del Cuerpo Vitreo Y Del Globo Ocular  En Enfermedades Clasificadas En Otra Parte,H450,Hemorragia del vitreo en enfermedades clasificadas en otra parte
H45,Trastornos Del Cuerpo Vitreo Y Del Globo Ocular  En Enfermedades Clasificadas En Otra Parte,H451,Endoftalmitis en enfermedades clasificadas en otra parte
H45,Trastornos Del Cuerpo Vitreo Y Del Globo Ocular  En Enfermedades Clasificadas En Otra Parte,H458,Otros trastornos del cuerpo vitreo y del globo ocular en enfermedades clasificadas en otra parte
H46,Neuritis Optica,H46X,Neuritis optica
H47,Otros Trastornos Del Nervio Optico [ II Par ] Y De Las Vias Opticas,H470,"Trastornos del nervio optico, no clasificados en otra parte"
H47,Otros Trastornos Del Nervio Optico [ II Par ] Y De Las Vias Opticas,H471,"Papiledema, no especificado"
H47,Otros Trastornos Del Nervio Optico [ II Par ] Y De Las Vias Opticas,H472,Atrofia optica
H47,Otros Trastornos Del Nervio Optico [ II Par ] Y De Las Vias Opticas,H473,Otros trastornos del disco optico
H47,Otros Trastornos Del Nervio Optico [ II Par ] Y De Las Vias Opticas,H474,Trastornos del quiasma optico
H47,Otros Trastornos Del Nervio Optico [ II Par ] Y De Las Vias Opticas,H475,Trastornos de otras vias opticas
H47,Otros Trastornos Del Nervio Optico [ II Par ] Y De Las Vias Opticas,H476,Trastornos de la corteza visual
H47,Otros Trastornos Del Nervio Optico [ II Par ] Y De Las Vias Opticas,H477,"Trastorno de las vias opticas, no especificado"
H48,Trastornos Del Nervio Optico [Ii Par] Y De Las Vias Opticas En Enfermedades Clasificadas En Otra Parte,H480,Atrofia optica en enfermedades clasificadas en otra parte
H48,Trastornos Del Nervio Optico [Ii Par] Y De Las Vias Opticas En Enfermedades Clasificadas En Otra Parte,H481,Neuritis retrobulbar en enfermedades clasificadas en otra parte
H48,Trastornos Del Nervio Optico [Ii Par] Y De Las Vias Opticas En Enfermedades Clasificadas En Otra Parte,H488,Otros trastornos del nervio optico y de las vias opticas en enfermedades clasificadas en otra parte
H49,Estrabismo Paralitico,H490,Paralisis del nervio motor ocular comun [III par]
H49,Estrabismo Paralitico,H491,Paralisis del nervio patetico [IV par]
H49,Estrabismo Paralitico,H492,Paralisis del nervio motor ocular externo [VI par]
H49,Estrabismo Paralitico,H493,Oftalmoplejia total (externa)
H49,Estrabismo Paralitico,H494,Oftalmoplejia externa progresiva
H49,Estrabismo Paralitico,H498,Otros estrabismos paraliticos
H49,Estrabismo Paralitico,H499,"Estrabismo paralitico, no especificado"
H50,Otros Estrabismos,H500,Estrabismo concomitante convergente
H50,Otros Estrabismos,H501,Estrabismo concomitante divergente
H50,Otros Estrabismos,H502,Estrabismo vertical
H50,Otros Estrabismos,H503,Heterotropia intermitente
H50,Otros Estrabismos,H504,Otras heterotropias o las no especificadas
H50,Otros Estrabismos,H505,Heteroforia
H50,Otros Estrabismos,H506,Estrabismo mecanico
H50,Otros Estrabismos,H508,Otros estrabismos especificados
H50,Otros Estrabismos,H509,"Estrabismo, no especificado"
H51,Otros Trastornos De Los Movimientos Binoculares,H510,Paralisis de la conjugacion de la mirada
H51,Otros Trastornos De Los Movimientos Binoculares,H511,Exceso e insuficiencia de la convergencia ocular
H51,Otros Trastornos De Los Movimientos Binoculares,H512,Oftalmoplejia internuclear
H51,Otros Trastornos De Los Movimientos Binoculares,H518,Otros trastornos especificados de los movimientos binoculares
H51,Otros Trastornos De Los Movimientos Binoculares,H519,"Trastorno del movimiento binocular, no especificado"
H52,Trastornos De La Acomodacion Y De La Refraccion,H520,Hipermetropia
H52,Trastornos De La Acomodacion Y De La Refraccion,H521,Miopia
H52,Trastornos De La Acomodacion Y De La Refraccion,H522,Astigmatismo
H52,Trastornos De La Acomodacion Y De La Refraccion,H523,Anisometropia y aniseiconia
H52,Trastornos De La Acomodacion Y De La Refraccion,H524,Presbicia
H52,Trastornos De La Acomodacion Y De La Refraccion,H525,Trastornos de la acomodacion
H52,Trastornos De La Acomodacion Y De La Refraccion,H526,Otros trastornos de la refraccion
H52,Trastornos De La Acomodacion Y De La Refraccion,H527,"Trastorno de la refraccion, no especificado"
H53,Alteraciones De La Vision,H530,Ambliopia ex anopsia
H53,Alteraciones De La Vision,H531,Alteraciones visuales subjetivas
H53,Alteraciones De La Vision,H532,Diplopia
H53,Alteraciones De La Vision,H533,Otros trastornos de la vision binocular
H53,Alteraciones De La Vision,H534,Defectos del campo visual
H53,Alteraciones De La Vision,H535,Deficiencia de la vision cromatica
H53,Alteraciones De La Vision,H536,Ceguera nocturna
H53,Alteraciones De La Vision,H538,Otras alteraciones visuales
H53,Alteraciones De La Vision,H539,"Alteracion visual, no especificada"
H54,Ceguera Y Deficiencia Visual (Binicular O Monocular),H540,Ceguera binocular
H54,Ceguera Y Deficiencia Visual (Binicular O Monocular),H541,"Deficiencia visual severa, binocular"
H54,Ceguera Y Deficiencia Visual (Binicular O Monocular),H542,"Deficiencia visual moderada, binocular"
H54,Ceguera Y Deficiencia Visual (Binicular O Monocular),H543,"Deficiencia visual leve o ausente, binocular"
H54,Ceguera Y Deficiencia Visual (Binicular O Monocular),H544,Ceguera monocular
H54,Ceguera Y Deficiencia Visual (Binicular O Monocular),H545,"Deficiencia visual severa, monocular"
H54,Ceguera Y Deficiencia Visual (Binicular O Monocular),H546,"Deficiencia visual moderada, monocular"
